run_id,protocol,mode,rate19,loss19,rate20,loss20,rate21,loss21,block_k,repeat_index,sender_returncode,receiver_returncode,transfer_time,received_wire_bytes,receiver_wire_throughput_mbps,application_goodput_mbps,expected_total_bytes,reconstructed_source_bytes,missing_packet_count,packet_loss_rate,recovery_rate,residual_loss_rate,block_success_rate,file_complete,continuity_check,sender_log,receiver_log
1,tcp,single,20mbit,0%,20mbit,0%,20mbit,0%,,1,0,0,48.67,116389364,19.13,19.13,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-0%_l20-0%_l21-0%_bk-na_rep-1_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-0%_l20-0%_l21-0%_bk-na_rep-1_receiver.log
2,tcp,single,20mbit,0%,20mbit,0%,20mbit,0%,,2,0,0,48.66,116389364,19.13,19.13,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-0%_l20-0%_l21-0%_bk-na_rep-2_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-0%_l20-0%_l21-0%_bk-na_rep-2_receiver.log
3,tcp,single,20mbit,0%,20mbit,0%,20mbit,0%,,3,0,0,48.66,116389364,19.13,19.13,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-0%_l20-0%_l21-0%_bk-na_rep-3_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-0%_l20-0%_l21-0%_bk-na_rep-3_receiver.log
4,tcp,single,20mbit,1%,20mbit,1%,20mbit,1%,,1,0,0,49.75,116389364,18.71,18.71,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-1%_l20-1%_l21-1%_bk-na_rep-1_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-1%_l20-1%_l21-1%_bk-na_rep-1_receiver.log
5,tcp,single,20mbit,1%,20mbit,1%,20mbit,1%,,2,0,0,49.78,116389364,18.71,18.71,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-1%_l20-1%_l21-1%_bk-na_rep-2_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-1%_l20-1%_l21-1%_bk-na_rep-2_receiver.log
6,tcp,single,20mbit,1%,20mbit,1%,20mbit,1%,,3,0,0,49.15,116389364,18.94,18.94,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-1%_l20-1%_l21-1%_bk-na_rep-3_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-1%_l20-1%_l21-1%_bk-na_rep-3_receiver.log
7,tcp,single,20mbit,3%,20mbit,3%,20mbit,3%,,1,0,0,80.29,116389364,11.6,11.6,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-1_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-1_receiver.log
8,tcp,single,20mbit,3%,20mbit,3%,20mbit,3%,,2,0,0,78.63,116389364,11.84,11.84,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-2_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-2_receiver.log
9,tcp,single,20mbit,3%,20mbit,3%,20mbit,3%,,3,0,0,76.34,116389364,12.2,12.2,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-3_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-3_receiver.log
10,tcp,single,20mbit,5%,20mbit,5%,20mbit,5%,,1,0,0,208.49,116389364,4.47,4.47,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-5%_l20-5%_l21-5%_bk-na_rep-1_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-5%_l20-5%_l21-5%_bk-na_rep-1_receiver.log
